,Date,Open,High,Low,Close,Adj Close,Volume,Measure
0,1990-01-02,8675,8675.0,8600.0,8625.0,8625.0,18000,0.4590163934426229
1,1990-01-03,8625,8725.0,8625.0,8625.0,8625.0,38000,0.4590163934426229
2,1990-01-04,8625,8675.0,8575.0,8675.0,8675.0,14000,0.4590163934426229
3,1990-01-05,8650,8650.0,8600.0,8625.0,8625.0,9000,0.4590163934426229
4,1990-01-08,8625,8625.0,8575.0,8625.0,8625.0,12000,0.4590163934426229
5,1990-01-09,8625,8625.0,8550.0,8555.0,8555.0,19000,0.4590163934426229
6,1990-01-10,8515,8515.0,8350.0,8375.0,8375.0,63000,0.4590163934426229
7,1990-01-11,8375,8400.0,8325.0,8375.0,8375.0,38000,0.4590163934426229
8,1990-01-12,8350,8350.0,8175.0,8200.0,8200.0,41000,0.4590163934426229
9,1990-01-15,8200,8225.0,8000.0,8000.0,8000.0,75000,0.4590163934426229
10,1990-01-16,8000,8150.0,7900.0,8150.0,8150.0,91000,0.4590163934426229
11,1990-01-17,8150,8250.0,8125.0,8200.0,8200.0,42000,0.4590163934426229
12,1990-01-18,8200,8225.0,8125.0,8125.0,8125.0,29000,0.4590163934426229
13,1990-01-19,8125,8175.0,8125.0,8175.0,8175.0,11000,0.4590163934426229
14,1990-01-22,8150,8150.0,7925.0,7925.0,7925.0,26000,0.4590163934426229
15,1990-01-23,7925,7975.0,7910.0,7975.0,7975.0,39000,0.4590163934426229
16,1990-01-24,7900,7900.0,7875.0,7900.0,7900.0,88000,0.4590163934426229
17,1990-01-25,7900,8000.0,7800.0,7825.0,7825.0,26000,0.4590163934426229
18,1990-01-26,7810,7810.0,7400.0,7450.0,7450.0,70000,0.4590163934426229
19,1990-01-29,7450,7500.0,7275.0,7280.0,7280.0,94000,0.4590163934426229
20,1990-01-30,7280,7300.0,6950.0,7250.0,7250.0,156000,0.4590163934426229
21,1990-01-31,7250,7455.0,7250.0,7455.0,7455.0,48000,0.4590163934426229
22,1990-02-01,7455,7575.0,7425.0,7575.0,7575.0,45000,0.4590163934426229
23,1990-02-02,7575,7700.0,7500.0,7650.0,7650.0,68000,0.4590163934426229
24,1990-02-05,7550,7550.0,7450.0,7525.0,7525.0,18000,0.4590163934426229
25,1990-02-06,7525,7625.0,7450.0,7525.0,7525.0,30000,0.4590163934426229
26,1990-02-07,7525,7845.0,7425.0,7825.0,7825.0,44000,0.4590163934426229
27,1990-02-08,7825,7925.0,7800.0,7830.0,7830.0,28000,0.4590163934426229
28,1990-02-09,7850,7950.0,7850.0,7950.0,7950.0,19000,0.4590163934426229
29,1990-02-12,7300,7300.0,7080.0,7220.0,7220.0,145000,0.4590163934426229
30,1990-02-13,7220,7450.0,7200.0,7400.0,7400.0,75000,0.4590163934426229
31,1990-02-14,7400,7425.0,7375.0,7425.0,7425.0,21000,0.4590163934426229
32,1990-02-15,7425,7525.0,7425.0,7520.0,7520.0,17000,0.4590163934426229
33,1990-02-16,7520,7575.0,7520.0,7575.0,7575.0,14000,0.4590163934426229
34,1990-02-20,7550,7550.0,7300.0,7325.0,7325.0,36000,0.4590163934426229
35,1990-02-21,7325,7375.0,7200.0,7350.0,7350.0,34000,0.4590163934426229
36,1990-02-22,7350,7350.0,7250.0,7325.0,7325.0,24000,0.4590163934426229
37,1990-02-23,7300,7300.0,7075.0,7125.0,7125.0,55000,0.4590163934426229
38,1990-02-26,7125,7150.0,7075.0,7150.0,7150.0,22000,0.4590163934426229
39,1990-02-27,7175,7355.0,7175.0,7225.0,7225.0,39000,0.4590163934426229
40,1990-02-28,7225,7250.0,7125.0,7225.0,7225.0,17000,0.4590163934426229
41,1990-03-01,7225,7300.0,7225.0,7300.0,7300.0,6000,0.4590163934426229
42,1990-03-02,7300,7375.0,7275.0,7275.0,7275.0,11000,0.4590163934426229
43,1990-03-05,7250,7250.0,7225.0,7250.0,7250.0,6000,0.4590163934426229
44,1990-03-06,7250,7325.0,7225.0,7250.0,7250.0,12000,0.4590163934426229
45,1990-03-07,7300,7425.0,7300.0,7425.0,7425.0,28000,0.4590163934426229
46,1990-03-08,7425,7450.0,7300.0,7450.0,7450.0,19000,0.4590163934426229
